MASCARA,NR_ANO,NO_DISTRITO,CODMUNIC,NO_MUNICIPIO,EH_CAPITAL,SG_UF,NO_UF,NO_REGIAO,IN_FUNCIONAMENTO,IN_DEP_ADM,IN_NATUREZA,QT_SERV_SEM_ESCOLARIDADE,QT_SERV_COM_1GRAU,QT_SERV_COM_2GRAU,QT_SERV_COM_SUPERIOR,QT_SERV_COM_ESPECIALIZACAO,QT_SERV_COM_MESTRADO,QT_SERV_COM_DOUTORADO,QT_TOTAL_SERVIDORES,QT_TOTAL_SERVIDORES_ESTAB,QT_DOCEN_FEMI_AFAST,QT_DOCEN_MASC_AFAST,QT_DOCEN_MASC_EXERC,QT_DOCEN_FEMI_EXERC,QT_DOCEN_AFAST_CURS_POS,QT_DOCEN_AFAST_OUTROS_MOT,QT_DOCEN_PARC_SEM_GRADU,QT_DOCEN_INT_SEM_GRADU,QT_DOCEN_PARC_GRADU,QT_DOCEN_INT_GRADU,QT_DOCEN_PARC_ESPEC,QT_DOCEN_INT_ESPEC,QT_DOCEN_PARC_MESTRADO,QT_DOCEN_INT_MESTRADO,QT_DOCEN_PARC_DOUTORADO,QT_DOCEN_INT_DOUTORADO
138,1995,MACEIO,270301104302,MACEIO,S,AL,Alagoas,NORDESTE,1,1,1,248.0,143.0,524,419,146,11,2,0,1493,69,71,539,416,119,21,0,0,61,157,72,289,12,262,0,102
724,1995,NOVA FRIBURGO,330300703401,NOVA FRIBURGO,N,RJ,Rio de Janeiro,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,17,0,0,0,29,6,0,0,0,0,13,0,21,0,1,0,0,0
487,1995,LAVRAS,311105738203,LAVRAS,N,MG,Minas Gerais,SUDESTE,1,1,1,160.0,32.0,87,109,17,11,1,0,417,2,17,141,28,19,0,0,0,0,4,0,8,1,68,0,88
245,1995,VIAMAO,430502623002,VIAMAO,N,RS,Rio Grando do Sul,SUL,1,4,4,0.0,0.0,0,0,0,0,0,15,0,0,0,29,13,0,0,0,0,1,0,21,0,15,0,5,0
345,1995,MACHADO,311004939003,MACHADO,N,MG,Minas Gerais,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,18,0,0,0,28,10,0,0,0,0,13,0,13,0,12,0,0,0
852,1995,SAO JOAO DA BOA VISTA,350703049102,SAO JOAO DA BOA VISTA,N,SP,Sao Paulo,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,8,0,0,3,34,2,0,3,0,0,18,0,16,0,2,0,0,0
573,1995,SAO PAULO,351506150308,SAO PAULO,S,SP,Sao Paulo,SUDESTE,1,4,1,41.0,16.0,55,29,0,0,0,0,141,5,3,96,118,3,5,0,0,27,3,76,11,62,8,21,6
656,1995,CABO FRIO,330401000704,CABO FRIO,N,RJ,Rio de Janeiro,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,45,0,1,0,15,7,0,1,0,0,3,0,9,0,8,0,2,0
890,1995,SAO MANUEL,350402350100,SAO MANUEL,N,SP,Sao Paulo,SUDESTE,1,3,4,0.0,0.0,0,0,0,0,0,5,0,0,0,3,10,0,0,0,0,0,0,11,0,2,0,0,0
111,1995,CURITIBA,411003706902,CURITIBA,S,PR,Parana,SUL,1,1,4,43.0,45.0,212,133,10,4,0,0,447,5,11,196,19,16,0,0,0,36,42,16,30,20,47,5,19
295,1995,VILHENA,110200700304,VILHENA,N,RO,Rondonia,NORTE,1,4,4,0.0,0.0,0,0,0,0,0,21,0,1,0,12,12,0,1,0,0,0,0,24,0,0,0,0,0
449,1995,RIO DE JANEIRO,330601804557,RIO DE JANEIRO,S,RJ,Rio de Janeiro,SUDESTE,1,4,3,,,0,0,0,0,0,56,0,25,34,125,83,12,47,0,0,71,0,70,0,59,0,8,0
193,1995,SALVADOR,290502127408,SALVADOR,S,BA,Bahia,NORDESTE,1,4,4,0.0,0.0,0,0,0,0,0,20,0,1,5,35,21,1,5,0,0,0,0,25,0,30,0,1,0
599,1995,CRICIUMA,420601904608,CRICIUMA,N,SC,Santa Catarina,SUL,1,4,3,,,0,0,0,0,0,78,0,7,6,106,63,9,4,0,0,7,0,122,20,9,10,0,1
540,1995,MANAUS,130300702603,MANAUS,S,AM,Amazonas,NORTE,1,4,4,0.0,0.0,0,0,0,0,0,11,0,0,0,10,8,0,0,0,0,0,0,9,0,5,0,4,0
600,1995,SAO LUIS,210100211300,SAO LUIS,S,MA,Maranhao,NORDESTE,1,2,1,95.0,189.0,293,61,52,0,0,0,690,26,39,391,193,28,37,0,0,113,203,41,156,8,52,6,5
31,1995,JUIZ DE FORA,311206536702,JUIZ DE FORA,N,MG,Minas Gerais,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,51,0,5,3,74,64,2,6,0,0,22,0,83,0,29,0,4,0
676,1995,VITORIA,320300905309,VITORIA,S,ES,Espirito Santo,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,9,0,0,0,8,0,0,0,0,0,1,0,6,0,1,0,0,0
64,1995,TERESOPOLIS,330601505802,TERESOPOLIS,N,RJ,Rio de Janeiro,SUDESTE,1,4,3,,,0,0,0,0,0,141,0,2,7,194,99,2,7,0,0,72,3,145,17,35,6,14,1
397,1995,NITEROI,330601803302,NITEROI,N,RJ,Rio de Janeiro,SUDESTE,1,4,3,,,0,0,0,0,0,30,0,0,0,24,66,0,0,0,0,25,0,31,0,29,0,5,0
