Year,Town,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable Fund Balance,Restricted Fund Balance,Committed Fund Balance,Assigned Fund Balance,Total Fund Balance,Unassigned Fund Balance,Unrestricted Fund Balance,Restatement Fund Balance Flag,Inter Gov Revenue,Tax Revenue,Total Revenue,Education,Annual Debt Service,Total Expenditures,Total Transfers In,Other Financing Sources,Total Trans To General Fund,Other Financing Uses,Operating Surplus Deficit Including Transactions,Previous Year Operating Surplus Def Including Transactions,Operating Surplus Deficit Including Sources and Uses,Special Or Extraordinary Items,Large Deficit Indicator Entprise Fund,Large Deficit Indicator Internal Service Fund,Regional School District (RSD) Debt,Town Bonded Long Term Debt,Total Bonded Long-Term Debt,Net Pension Liability,Current Year Adjusted Taxes Collectible,Current Year Taxes Collected,Property Tax Collection Rate (current Year),Total Adjusted Taxes Collectible,Total Taxes Collected,Overall Tot Tax Colleton Rate,Population,Area Limit,Net Grand List,EGL,RPA Identifier,Deficit Bonds,10-Year Scheduled Repayment Principal Amount,Total Net OPEB Liability
2019,ROXBURY,9670447,4553877,16686390,14957,6168,326539,488137,0,3189737,2368893,2857030,False,59297,10566883,11130953,7655448,6116,10581480,0,0,0,428400,121073,54434,121073,0,0,0,4436950,0,4436950,0,10483581,10411719,0.9931,10596929,10496531,0.9905,2152,26.3,661429030,944954328.6,Northwest Hills,False,0,295370
2019,COLEBROOK,7948062,2206678,10278321,-72852,0,0,0,0,2200330,2200330,2200330,False,960726,5805693,6950859,4138321,62750,6217184,0,0,0,450000,283675,388944,283675,0,0,0,97177,250000,347177,0,5782314,5714174,0.9882,5884399,5757856,0.9785,1400,31.53,186143917,257037960.7,Northwest Hills,False,0,213132
2019,EAST HAMPTON,90815986,-386430,92231177,657948,0,0,0,0,5713344,5713344,5713344,False,12684066,37184386,50586001,35767037,3696355,49547159,91084,91084,91084,852206,277720,172155,277720,0,0,0,0,41935013,41935013,10480640,36924601,36607508,0.9914,37393824,36894648,0.9867,12800,35.65,1137970647,1682912342.0,Lower CT River Valley,False,0,4203743
2019,RIDGEFIELD,123176825,9796922,133004354,7497221,0,0,0,2621456,17972110,15350654,17972110,False,9345544,134110453,152733957,100848230,11252441,149480311,49583,49583,49583,1227315,2075914,-1582617,2075914,0,0,0,0,64509265,64509265,63656,132920426,132066998,0.9936,136088104,133392309,0.9802,24959,34.52,4811454985,6873742407.0,Western CT,False,0,23547632
2019,CHESTER,12075540,3915567,16356602,818148,0,0,0,200000,2857629,2657629,2857629,False,1486866,12178823,14291206,9420268,83389,13203284,32125,32125,32125,694786,425261,174277,425261,0,0,0,1271820,660495,1932315,629674,12099190,11990160,0.991,12271635,12102015,0.9862,4213,16.05,444295971,649168688.5,Lower CT River Valley,False,0,146249
2019,CHAPLIN,9842898,1881358,11823394,637321,1151,90498,0,0,1392632,1300983,1300983,False,2999720,6240451,9378170,6905584,61966,8809143,0,0,0,947261,-378234,789732,-378234,0,0,0,0,0,0,0,6175573,6113345,0.9899,6262656,6184736,0.9876,2239,19.43,189965790,286918371.1,Northeast CT,False,0,297933
2019,SCOTLAND,11687339,988077,13099687,-97529,0,0,0,234441,645906,411465,645906,False,1768141,4391507,6230749,5018171,282345,6431897,11538,11538,11538,36907,-226517,45850,-226517,0,0,0,0,1769521,1769521,0,4454842,4320100,0.9698,4585890,4335250,0.9453,1672,18.63,114040091,177539297.8,Northeast CT,False,0,98665
2019,MIDDLEBURY,30244871,-5097980,25146891,-1734810,68752,0,0,0,3940594,3871842,3871842,False,1217040,31332183,33764595,22438773,811929,33949201,141049,141049,141049,334500,-378057,111466,-378057,0,0,0,2555476,11340000,13895476,4601633,28678611,28453805,0.9922,29257480,28542802,0.9756,7798,17.75,958235522,1396256303.0,Naugatuck Valley,False,0,7618962
2019,MARLBOROUGH,40524168,8483611,49007779,3016163,0,0,0,424998,4633000,4208002,4633000,False,3769016,21425634,25527499,17456613,1989874,24270792,405016,582513,405016,946166,715557,611781,893054,0,0,0,3392419,11090990,14483409,0,21361254,21217311,0.9933,21555599,21305065,0.9884,6335,23.35,581292840,876042728.5,Capitol,False,0,591552
2019,MILFORD,158106000,-399527000,-241421000,-64374000,21000,0,1283000,14262000,42568000,27002000,42547000,False,20345000,181958000,215542000,122831000,18032000,216028000,50000,856000,50000,1131000,-1567000,6572000,-761000,0,0,0,0,172184000,172184000,72163000,181355000,178970000,0.9868,186773000,180419000,0.966,54747,22.18,6582350457,9699877202.0,South Central,False,0,337273000
